model,QLIKE,vs_HARIV_DM_p
log-HAR,0.22539514595447321,5.484501741648273e-14
HAR-IV,0.20408249177861432,
OLS,0.19681485077089125,0.0002913016259331602
Ridge,0.1968232261299383,0.00027494772888103647
Lasso,0.19774736840819312,0.0008443404937725774
ElasticNet,0.19776628808679614,0.0008390213804843061
GBRT,0.20450743763756793,0.8618186831838122
