,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,ProfitFactor,WinRate_d,N_days,NetProfit_EUR,EndBalance_EUR,MC_End_P5,MC_End_P50,MC_End_P95,MC_CAGR_P5,MC_CAGR_P50,MC_MaxDD_P50,MC_MaxDD_P95,MC_P_Loss,MC_P_DD20,YearConsistency,DSR,Sharpe_CI_lo,Sharpe_CI_hi,Score,DQ,kind,Rank
XM-C4-IV,0.0768332287543003,0.0702884946547305,1.088489279180921,1.339400351820934,-0.1126965196804893,0.6817710872716696,1.22625955811037,0.5559712230215827,3475.0,177534.44964244275,277534.44964244275,179030.8289198451,271018.0351749478,402256.9323192727,0.0431381195753682,0.0749794366566348,-0.1243320239581348,-0.2023155448418708,0.0,0.0532,0.8571428571428571,0.932624153364202,0.5460539805781758,1.5984225816088669,1.0316619408269954,False,combo-xm,1
VMG-NDX,0.2085636751394015,0.1984168125917944,1.0544605339071118,1.42623253919223,-0.3617152373849381,0.5765963210376112,1.1993379633621808,0.5661375661375662,2646.0,630853.1733347652,730853.1733347652,258887.3136105464,742190.8525551747,1970046.0177805407,0.0948229250065135,0.2103368257981466,-0.2798332392854856,-0.4244277068740125,0.0006,0.9314,0.9090909090909092,0.8864501352180463,0.46524305653903,1.6585202639908023,1.018943566843221,False,family,2
C2-ERC-NDX,0.1551540936995563,0.1517251308574335,1.026882117308425,1.3922182694132132,-0.2427945820095721,0.6390344150819618,1.1910823116446188,0.5562913907284768,3171.0,514071.60034154216,614071.6003415422,258310.59429679444,601026.1944640937,1375068.9634647942,0.0783333161414129,0.1531845422122442,-0.2306421338952134,-0.3548215236153526,0.0002,0.7306,0.8461538461538461,0.8895921631407085,0.487713348611543,1.549224587191978,1.0052647408015258,False,combo,3
C3-EW-NDX,0.1528572518719086,0.1507268671128876,1.0195086329008731,1.368656040745584,-0.257685782344621,0.5931924162873763,1.1885782176057018,0.5620800467426235,3423.0,590426.8849247784,690426.8849247784,276816.9794835635,667470.6623583189,1628566.4105266738,0.0778394262465699,0.1499908694635242,-0.2393496637018252,-0.3656087989771074,0.0,0.7776,0.9285714285714286,0.8929145721156788,0.4889369694781344,1.5392159683896287,0.996371465964259,False,combo,4
XM-C2-EW,0.1201079380074361,0.1149421181891762,1.0445505568014344,1.4246468533974244,-0.2266278542037976,0.5299787108226677,1.1961777421468316,0.552773826458037,3515.0,386515.9313262274,486515.9313262274,234275.81385821337,477966.2353406786,944189.2987172,0.0629351675611969,0.1186850937526272,-0.1922453413711361,-0.2999591216217269,0.0,0.4424,0.8571428571428571,0.9122732220031328,0.4882267192346349,1.550788505995973,0.9954591447300256,False,combo-xm,5
XM-C3-EW,0.1133119053211457,0.1101066531422801,1.030223866159114,1.4018113037019848,-0.2193400030921007,0.5166039195940293,1.1879995109599135,0.5530583214793741,3515.0,346921.3563106727,446921.3563106727,220781.06805992132,433228.4587210774,823715.8885388047,0.0584237283861597,0.1108309923774925,-0.1894247483619438,-0.2943761227259863,0.0002,0.4128,0.8571428571428571,0.9023736390809765,0.4652565579638277,1.5337213283081534,0.9783103282923108,False,combo-xm,6
XM-C5-IV,0.0665523412411646,0.0648324413856605,1.0263942206267689,1.2456252589436825,-0.1034763712076008,0.643164622652287,1.2133146169652376,0.5548201438848921,3475.0,143144.9689452427,243144.9689452427,161885.90347546636,235504.6053537105,336969.458272653,0.0355508217611985,0.0640857994743978,-0.1135543924273849,-0.185515716262464,0.0,0.0304,0.8571428571428571,0.8977227561032652,0.4978504140643567,1.5231110178689284,0.9749863145255776,False,combo-xm,7
C4-EW-NDX,0.1233224876740719,0.1258405024898801,0.987387513419676,1.269955451533766,-0.2046874328019472,0.6024917406306869,1.1887974848337264,0.5617879053461875,3423.0,385309.5313372017,485309.5313372017,231034.02411252572,475054.518695798,971814.6501104926,0.0635886374681777,0.1215576549881124,-0.205416416479069,-0.3206473746734148,0.0,0.5434,0.9285714285714286,0.8692194211171775,0.4690035985690056,1.5102772830465008,0.962771530004314,False,combo,8
C1-EW-NDX,0.1653601524914951,0.1688081529347781,0.991451208466542,1.307073594036821,-0.3017811490420067,0.5479472558720946,1.1855014095465162,0.556237218813906,3423.0,699374.9996557274,799374.9996557274,283174.93102190684,764545.1056789141,2058582.8996187083,0.0796428319742353,0.1615443876900704,-0.2699391038222527,-0.4130277520695993,0.0002,0.912,0.9285714285714286,0.8726944035188848,0.4556232309185467,1.4849450323662117,0.9594355529313504,False,combo,9
C5-EW-NDX,0.1092863130307284,0.1130337908147075,0.9743673582220852,1.256865602033414,-0.1827322112632017,0.5980681362921608,1.187497425514366,0.5612036225533158,3423.0,309112.7110344207,409112.7110344207,211524.87447163943,395859.858458,743504.7255622514,0.056703112135846,0.1066002976237622,-0.1818933203901719,-0.2835618979553605,0.0002,0.3496,0.9285714285714286,0.8596625343230156,0.44989664794121,1.4648655714617504,0.9544846133703786,False,combo,10
BH-SPX,0.1332792252371315,0.1686063737327631,0.8267868976238127,1.0104913259358204,-0.3397183165144256,0.3923227531697486,1.172210641906306,0.548801870251315,3422.0,446840.8837532192,546840.8837532192,203299.04172992267,529460.8520525321,1244248.6932744752,0.0536380322281189,0.1305869134375843,-0.3092697208885691,-0.4790185600944173,0.0024,0.914,0.8571428571428571,0.7066473238497,0.2819603109081638,1.3368554928402805,0.7812622151225274,False,benchmark,0
