,CAGR,Vol,Sharpe,MaxDD,Skew,ES5,WinRate
Buy&Hold,0.12826156342907513,0.137167139092343,0.9525340330769062,-0.2239730128364269,-0.41054507610532165,-0.08066958044351097,0.6481481481481481
Short-Straddle,0.10054257646138876,0.07525615766462897,1.3155060034667894,-0.0950933020496616,-0.4929343452654724,-0.04271778295973258,0.691358024691358
Covered-Call,0.11767476537842692,0.07767970165698015,1.4782259104510642,-0.1425505202626861,-1.961075559579028,-0.058912098463987275,0.8148148148148148
Convex-Straddle,0.06461226261554365,0.06587450007759149,0.9856698372847909,-0.07808909990023438,-0.39030544131520306,-0.036664939321342856,0.6111111111111112
Tail-Hedged,0.08954457502000235,0.07440257308384401,1.1937657624567302,-0.11273891233190969,-0.5138377150269537,-0.04288100057186364,0.6790123456790124
Costless-Collar,0.12906066944196604,0.10713774648487477,1.1920091977859568,-0.18448488450847333,-0.5157567991909615,-0.04948554540710107,0.6481481481481481
VolTgt-Straddle,0.09743675969651422,0.06880525489174841,1.3909183112143086,-0.09568469760065468,-0.9323827752004014,-0.04206360922606103,0.691358024691358
