,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,TimeInMkt
Base (kein Filter),0.1237911612763285,0.14644477112271756,0.8704915392777947,1.1367033083712825,-0.2544348286754966,0.48653386771278234,1.0
Credit-Filter,0.06746768931205072,0.08996721415524739,0.7708403365010444,0.796197257684367,-0.18535388591866642,0.3639939296533316,0.6101694915254238
Curve-Filter,0.09436502072072117,0.13040370556054068,0.7570004009095966,0.8825734659451594,-0.28445477699081256,0.3317399753978082,0.8404441846873174
Macro (Credit+Curve),0.04932893337935851,0.07588304045682934,0.6726255774856645,0.6124839651971661,-0.16546753407127202,0.298118501954051,0.4970777323202805
