,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,ProfitFactor,WinRate_d,Trades,WinRate_t,CRV,Expectancy_EUR,NetProfit_EUR,N_days,EndBalance_EUR,AvgWin_EUR,AvgLoss_EUR,RoundTrips_pa,ContinuousSleeve
BH,0.13327922523713154,0.16860637373276313,0.8267868976238127,1.0104913259358204,-0.33971831651442563,0.39232275316974863,1.1722106419063059,0.548801870251315,1,1.0,,446840.88375321915,446840.88375321915,3422,546840.8837532192,446840.88375321915,,0.0,True
VM[logHAR],0.12215557353373963,0.14763945387907268,0.8548171657413263,1.1005668609994295,-0.253479077713457,0.4819158040011066,1.1662234588196527,0.5479251899473991,1,1.0,,378287.38085445395,378287.38085445395,3422,478287.38085445395,378287.38085445395,,18.41889551660777,True
TSMOM63|LS|VT,0.021072881700002766,0.15772097559045536,0.21149731291204887,0.2634391245596365,-0.40236579381241766,0.05237244821518529,1.0390034750465527,0.5336060783167739,154,0.3116883116883117,2.8316827546124546,295.92995794168394,32734.802237863303,3422,132734.8022378633,4313.019792755072,-1523.1295898983408,15.282262251861363,False
TSMOM63|LS|raw,0.016373631149976253,0.1688061547521295,0.18083866462196074,0.2208912423824525,-0.4027875460647051,0.04065078801454784,1.0353365763296787,0.5338983050847458,154,0.3181818181818182,2.6562094409522663,244.49641213422314,24675.33577507091,3422,124675.33577507091,3975.9776704707365,-1496.8615084228168,11.270388775211925,False
TSMOM63|LF|VT,0.08482570619217888,0.11921168257231987,0.7431562071534978,0.7835847525639973,-0.2530103357021102,0.33526577464428625,1.163566497677013,0.42840444184687315,77,0.4155844155844156,4.242887417199055,1640.974780719366,202110.56374975923,3422,302110.5637497592,5906.09372260966,-1391.9986890692876,8.397045917335333,False
TSMOM63|LF|raw,0.08213820219425227,0.10943148713937843,0.7764137393427945,0.8414342119530809,-0.224900556878338,0.36522009253487836,1.1668660258805887,0.4286966686148451,77,0.42857142857142855,4.0843856509081,1578.942266737021,192104.1269775381,3422,292104.1269775381,5469.793464937029,-1339.1961319129855,5.635194387605963,False
TSMOM126|LS|VT,0.024914042918900314,0.1577650974259865,0.23523449642679373,0.2958160818696006,-0.5214372975104586,0.047779556694255466,1.043483527025919,0.5347749853886616,97,0.28865979381443296,3.441047160709468,582.6745942783317,39678.22244628015,3422,139678.22244628015,7111.183751423799,-2066.5754984763503,9.933038388847773,False
TSMOM126|LS|raw,0.03498661559576188,0.16880467389581544,0.2882998598252006,0.35633627644422033,-0.4796059272978249,0.07294867224198409,1.056929155955456,0.5350672121566336,97,0.27835051546391754,3.9627215607121324,711.782646973216,59515.98106648485,3422,159515.98106648485,7395.839456673537,-1866.3535510540503,7.071616486407483,False
TSMOM126|LF|VT,0.08688022594788891,0.11908723542975806,0.7596665944066474,0.8297229003276896,-0.19525846860096596,0.44494984811869565,1.1618400570404932,0.4462302746931619,49,0.40816326530612246,5.612550535483806,2699.579277207221,209973.34090215364,3422,309973.34090215364,8917.906514849765,-1588.922265994534,5.739279291656826,False
TSMOM126|LF|raw,0.09129026306372601,0.11521844030517558,0.8161363058811805,0.9239574476456586,-0.20005053255246374,0.45633601620023134,1.172615458769427,0.4465225014611338,49,0.40816326530612246,6.109353149362471,2832.4331330031296,227495.1833535325,3422,327495.1833535325,9099.035344724949,-1489.36149577054,3.5358082432037414,False
