,n,QLIKE,dQLIKE,MSE_x1e8,dMSE_x1e8,CW_p,verdict
H1 IV-slope,3422,0.1963210921957336,-0.007761399582880718,1.2663901308453005,-0.05657085642040415,0.04387403799135392,QLIKE-only
H3 Overnight-var,3422,0.20371150326605347,-0.00037098851256084364,1.3184157805621215,-0.004545206703583177,0.104387251801207,QLIKE-only
H5 OPEX-dummy,3422,0.20360716909232893,-0.00047532268628538987,1.3173238773848823,-0.005637109880822446,0.12675303516566072,QLIKE-only
H6 NFCI,3345,0.2046605182678007,0.0001980755131010259,1.3548107110746817,0.004388821124981286,0.6859100295957697,no
H7 QLIKE-native GLM,3422,0.20389315933070545,-0.00018933244790886317,1.3010744974293431,-0.02188648983636152,0.03177784764226199,QLIKE-only
H8 Level-dep MR,3422,0.20406481337957486,-1.7678399039461334e-05,1.3190019918135991,-0.0039589954521054745,0.09595239935708577,QLIKE-only
