,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar
Inverse-Vol (Median),0.1237911612763285,0.14644477112271756,0.8704915392777947,1.1367033083712825,-0.2544348286754966,0.48653386771278234
Tail-Vol / CVaR,0.09236426967407141,0.10800098903843615,0.8722099419728789,1.1396369344595587,-0.18999650430502069,0.4861366792611598
Kelly (ungedeckelt),0.2906987470459004,0.40612964964757414,0.8338619062661412,,-0.5909080783274192,0.49195256877978516
Kelly + DD-Cap,0.05335179213281882,0.13084050982891368,0.46330601866735144,,-0.2163496829237308,0.24659981661090205
