h,model,QLIKE,MSE_x1e8,OOS_R2_vs_RW
1,AR(1)-logRV,0.24217023088624653,1.5368709168894372,0.18132461232936536
1,Combo-EW,0.24010699665547175,1.3701408916603246,0.2701399881301152
1,EWMA(0.94),0.35134212099159273,2.255951373162754,-0.20172217763620015
1,HAR,0.24715953930133874,1.5099204309681318,0.1956808599927623
1,HAR,0.24715953930133874,1.5099204309681318,0.1956808599927623
1,HAR-CJ,0.564221113702505,1.4422776295523496,0.2317134871077805
1,HAR-RS,0.2465847113321345,1.5513204059707164,0.17362751757322215
1,HARQ,0.32958765345908786,1.41326949213114,0.24716582463849335
1,LHAR,1.851683019893387,1.4213657503251345,0.24285303086849663
1,RW,0.30847455028519655,1.8772653240037838,0.0
1,RW,0.30847455028519655,1.8772653240037838,0.0
1,log-HAR,0.22539514595447321,1.4444883276373834,0.23053587089297767
1,log-HAR,0.22539514595447321,1.4444883276373834,0.23053587089297767
5,HAR,0.43636461470275,2.472874344004505,0.2479715175407189
5,RW,0.702703229660247,3.2882721887310957,0.0
5,log-HAR,0.4261328787482468,2.3874268695343606,0.27395704111232977
22,HAR,0.7130574118816397,3.3313873975608437,0.4076267877760362
22,RW,1.6332791863165825,5.623798188060734,0.0
22,log-HAR,0.7588105139670747,3.1862325647426077,0.43343760601030334
