,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,ProfitFactor,WinRate,N
Buy&Hold,0.13327922523713154,0.16860637373276313,0.8267868976238127,1.0104913259358204,-0.33971831651442563,0.39232275316974863,1.1722106419063059,0.548801870251315,3422.0
VM[RW],0.12316778902412229,0.16403781774667306,0.7904015126317835,1.0292141476962895,-0.27422609245662133,0.44914686243288715,1.1533793798271017,0.5467562828755114,3422.0
VM[HAR],0.12410030978358666,0.14399752091813225,0.8848021158694573,1.1169878660666581,-0.25408873569709,0.48841326807785734,1.1769991885384097,0.5482174167153712,3422.0
VM[log-HAR],0.12215557353373963,0.14763945387907268,0.8548171657413263,1.1005668609994295,-0.253479077713457,0.4819158040011066,1.1662234588196527,0.5479251899473991,3422.0
VM[Combo],0.12340957645867978,0.14527362827839896,0.8740510397108946,1.114489301320248,-0.2533719407299674,0.48706883683779434,1.1724747519240688,0.5482174167153712,3422.0
