,CAGR,Vol,Sharpe,MaxDD,Skew,WinRate
Buy&Hold,0.12826156342907513,0.137167139092343,0.9525340330769062,-0.2239730128364269,-0.41054507610532165,0.6481481481481481
Short-Straddle,0.10054257646138876,0.07525615766462897,1.3155060034667894,-0.0950933020496616,-0.4929343452654724,0.691358024691358
Straddle-Gated,0.10447915661361162,0.07422781114916327,1.3811907405171753,-0.09491395247311174,-0.505876655455829,0.691358024691358
Covered-Call,0.11767476537842692,0.07767970165698015,1.4782259104510642,-0.1425505202626861,-1.961075559579028,0.8148148148148148
Protective-Put,0.09320621652376637,0.1200045322443215,0.804860841219226,-0.24976905627930635,-0.20098749711905983,0.6358024691358025
