model,n,QLIKE,dQLIKE,MSE_1e8,dMSE_1e8,CW_p,Q_13_19,dQ_13_19,Q_20_26,dQ_20_26,DM_p
Rich-log-OLS,3422,0.19676309891606467,-0.007319392862549651,2.053385320583842,0.7304243333181376,0.5981885862665187,0.18717652864659717,-0.00501470762670117,0.20693872350329473,-0.009765691287588668,
C1 HAR-IV+slope,3422,0.1963210921957336,-0.007761399582880718,1.2663901308453005,-0.05657085642040415,0.04387403799135392,0.1847298280381729,-0.00746140823512545,0.20862459065695163,-0.008079824133931768,
C2 Rich+slope,3422,0.19239781642628678,-0.011684675352327534,1.4870049378803045,0.16404395061459978,0.19361294970917964,0.18242071997938591,-0.009770516293912429,0.20298796337775618,-0.013716451413127217,
C3 Parsi(IV+slope+rs_m),3422,0.19643594072242299,-0.007646551056191331,1.2645249325887913,-0.05843605467691339,0.040477096325273965,0.18490796679798502,-0.007283269475313325,0.2086722600325794,-0.008032154758303989,
C4 GLM(HAR-IV+slope),3422,0.19586934040758805,-0.008213151371026267,1.2521668811269646,-0.07079410613874008,,0.18468712681182817,-0.0075041094614701764,0.20773865387489454,-0.008965760915988857,0.0007738533190277952
C5 GLM(Rich+slope),3422,0.19200473569426108,-0.012077756084353242,1.4329502615553673,0.10998927428966258,,0.1825045825765899,-0.00968665369670843,0.2020886331601265,-0.014615781630756886,4.740779909395698e-05
C6 log-ensemble,3422,0.19296312444690672,-0.011119367331707597,1.443672514453588,0.12071152718788329,,0.18286117527174192,-0.009330061001556422,0.20368579580030455,-0.01301861899057885,1.617624614258517e-07
