,Sharpe,Sortino,MaxDD,Calmar,Trades,WinRate,PF_trade,StopExits
No-Stop (Trend),0.783516935450393,0.8861869325709122,-0.22724175854642692,0.38239635668370053,39.0,0.4358974358974359,3.4144691010611834,0.0
Fixed-5%,0.773072053755165,0.8741792980108561,-0.22724175854642703,0.3769710608847775,39.0,0.4358974358974359,3.3161697652507156,3.0
Vol-Scaled,0.7866794935530352,0.8916670955663735,-0.22724175854642692,0.3837497488386391,39.0,0.4358974358974359,3.439391134779528,3.0
Vol-Trailing,0.7876602172078003,0.9200474902968817,-0.26309715195811545,0.32585888153001147,61.0,0.47540983606557374,2.6200122541624573,33.0
