,Baseline,B: Regime-Gate+Richtung,C: Regime-TP (VWAP/1/2sd),D: skip erste 30min,D+B: skip30 + Regime
2013-09-20,82033.96580249663,74509.88969470553,82394.51567831925,85508.2967497849,75959.03943604889
2013-09-23,82229.18263558138,73934.78363147585,82485.62691879917,85508.2967497849,75866.46059114517
2013-09-24,81367.82678889984,73160.31213470397,81621.58480216312,84978.16824451895,75396.10888398052
2013-09-25,80521.94996473806,72399.75830249042,80773.06998174614,83736.10340158502,74294.09811964692
2013-09-26,80248.0540735484,72153.4900944942,80498.31990432671,83451.27454838449,74041.38630350829
2013-09-27,80248.0540735484,72153.4900944942,80498.31990432671,83451.27454838449,74041.38630350829
2013-09-30,80248.0540735484,72153.4900944942,80498.31990432671,83451.27454838449,74041.38630350829
2013-10-01,80462.67371208697,72346.4612031666,80713.60886703468,83960.04026551289,74492.7840706933
2013-10-02,80015.54618445756,71944.43511034428,80265.08690382105,83254.7977496331,73867.06404618203
2013-10-03,79790.86253077163,71742.41513655444,80039.70253979514,83254.7977496331,73867.06404618203
2013-10-04,79790.86253077163,71742.41513655444,80039.70253979514,83254.7977496331,73867.06404618203
2013-10-07,79790.86253077163,71742.41513655444,80039.70253979514,83254.7977496331,73867.06404618203
2013-10-08,80045.18802820535,71971.08700245467,80294.82119019236,83254.7977496331,73867.06404618203
2013-10-09,79751.42966947227,71971.08700245467,80729.42788491766,82949.26042320483,73867.06404618203
2013-10-10,80023.21194889293,71971.08700245467,81616.85995664462,83231.94048508596,73867.06404618203
2013-10-11,80023.21194889293,71971.08700245467,81616.85995664462,83231.94048508596,73867.06404618203
2013-10-14,80617.22120200645,72505.32563890681,82222.69879819575,83506.02452995628,74110.30941062358
2013-10-15,79327.93846603006,71345.77358267366,80907.74022625154,82733.435885168,73424.64889888585
2013-10-16,79281.749436419,71304.23220251988,80860.63135034555,82733.435885168,73424.64889888585
2013-10-17,79593.28945269927,71584.42432516017,81178.37563054111,82630.47588021292,73333.27348175767
2013-10-18,79593.28945269927,71584.42432516017,81178.37563054111,82630.47588021292,73333.27348175767
2013-10-21,79993.82769615397,71944.65946275872,81586.89052174792,82524.8585077962,73239.53969197425
2013-10-22,80239.01350385114,71792.78853691927,81533.34624984066,82417.80179689048,72941.21554928628
2013-10-23,79720.91603162023,71329.22772477641,81006.89136524088,82122.99931634893,72680.31012826282
2013-10-24,79416.21826437875,71056.60345615688,80697.2785288759,82122.99931634893,72680.31012826282
2013-10-25,79416.21826437875,71056.60345615688,80697.2785288759,82122.99931634893,72680.31012826282
2013-10-28,79482.14550285843,71115.59097462591,80764.26923735467,81479.90248569082,72111.15803343146
2013-10-29,79502.29337464584,71133.61801453504,80784.74211376363,81500.5567674562,72129.4374389169
2013-10-30,79013.13927918757,70695.9539032294,80287.69749054412,80977.41481892041,71666.44754111471
2013-10-31,78663.50063018943,70383.11937927737,79932.4188326164,80977.41481892041,71666.44754111471
2013-11-01,78663.50063018943,70383.11937927737,79932.4188326164,80977.41481892041,71666.44754111471
2013-11-04,79241.57762102394,70900.34606675463,80519.82076335566,81572.49614519073,72193.10506342776
2013-11-05,79566.73520728655,71019.57925691262,80330.67448759734,81877.17179966126,72633.12414634245
2013-11-06,78974.98144584997,70491.39240783009,79733.23915657701,81530.85690113837,72325.90868609563
2013-11-07,79120.99117553713,70621.71759388657,79880.65076064703,81530.85690113837,72325.90868609563
2013-11-08,79120.99117553713,70621.71759388657,79880.65076064703,81530.85690113837,72325.90868609563
2013-11-11,78832.21466024662,70363.96180484006,79589.1016328736,81233.2848359411,72061.93292485608
2013-11-12,78939.72821905668,70459.92612574893,79697.6474551104,81344.0730407909,72160.21298582957
2013-11-13,79049.4555590415,70557.86642075286,79808.42831356522,81344.0730407909,72160.21298582957
2013-11-14,79005.07612633237,70518.2542809503,79763.62278329414,81298.40537881562,72119.70126700957
2013-11-15,79005.07612633237,70518.2542809503,79763.62278329414,81298.40537881562,72119.70126700957
2013-11-18,78891.61548526058,70363.24681086332,79399.20934903422,81700.66026541643,72569.86390557901
2013-11-19,78256.93148510669,69797.17363977866,78760.44175011093,81700.66026541643,72569.86390557901
2013-11-20,77993.76214988164,69562.45352695562,78495.57916600419,81674.9406371367,72547.01868109858
2013-11-21,79040.30925517489,70495.86643548835,79548.8598244834,82561.8932923902,73334.84626135725
2013-11-22,79040.30925517489,70495.86643548835,79548.8598244834,82561.8932923902,73334.84626135725
2013-11-25,79040.30925517489,70288.29815252808,79548.8598244834,82561.8932923902,73618.92055487925
2013-11-26,78547.48876471081,70059.84588920881,79052.86849443945,82253.79046299876,73684.13111833077
2013-11-27,78785.78144885878,70272.38926889522,79146.51043560305,82503.32710406803,73907.6696382686
2013-11-29,78785.78144885878,70272.38926889522,79146.51043560305,82503.32710406803,73907.6696382686
2013-12-02,78383.31069716233,70040.4015087101,78742.19692923968,82503.32710406803,74137.75558633413
2013-12-03,78196.33935703081,69131.18280175388,78337.89147336462,82226.91336596134,72924.09573284887
2013-12-04,77710.31582266148,68193.25061811617,77850.98813233881,81715.83809846146,71934.70348497342
2013-12-05,77633.38005136054,68125.7370547201,77773.91309081964,81755.45336424823,71969.57692522886
2013-12-06,77633.38005136054,68125.7370547201,77773.91309081964,81755.45336424823,71969.57692522886
2013-12-09,77661.035974628,68319.51677445766,77647.54171026719,82018.83920795214,72073.05729643493
2013-12-10,77785.84445675113,68894.38169875863,77494.17276991408,81981.91435514468,72532.95126377406
2013-12-11,77525.4874454365,67331.91911673639,77371.01492179089,81981.91435514468,70681.03995210743
2013-12-12,76778.64433155232,66683.2759183001,76625.65992161448,81597.72048808445,70349.80565146152
2013-12-13,76778.64433155232,66683.2759183001,76625.65992161448,81597.72048808445,70349.80565146152
2013-12-16,76778.64433155232,66099.41898059967,76625.65992161448,81597.72048808445,69733.84577951692
2013-12-17,76265.56491642703,66095.50968526865,76061.80089221228,80917.54223316276,69870.55603637143
2013-12-18,75803.24616716709,65020.74347341025,75389.26148906084,80928.11700939783,69492.88372981989
2013-12-19,75594.77620117943,65020.74347341025,75364.0410793908,80770.17752066742,69492.88372981989
2013-12-20,75594.77620117943,65020.74347341025,75364.0410793908,80770.17752066742,69492.88372981989
2013-12-23,75543.3891115927,65009.351884549935,75195.19583009547,80770.17752066742,69669.71331175335
2013-12-24,75543.3891115927,65009.351884549935,75195.19583009547,80770.17752066742,69669.71331175335
2013-12-26,75342.08575222632,65147.38375405336,75261.03155278767,80554.94613824281,69906.81758140196
2013-12-27,75342.08575222632,65147.38375405336,75261.03155278767,80554.94613824281,69906.81758140196
2013-12-30,75615.81112908204,65425.090697994856,75383.70222193623,80847.61036128804,70160.79608221202
2013-12-31,75468.26710058356,65629.79059518746,75042.47607174724,80763.0795080678,70300.72773158364
2014-01-02,75038.82415703099,65192.146363661006,74882.77170193059,80303.5070821091,70046.3531466381
2014-01-03,75038.82415703099,65192.146363661006,74882.77170193059,80303.5070821091,70046.3531466381
2014-01-06,74952.14152356729,64444.43879288123,75035.2474235133,80210.74284241791,69510.54834415037
2014-01-07,74952.14152356729,64690.43540661337,75035.2474235133,80210.74284241791,69775.88325638819
2014-01-08,74244.20218805982,64582.84496150733,74326.5231346424,79981.66096086,69775.88325638819
2014-01-09,74200.20774062345,63534.38370024775,74390.57011633454,80012.32880253666,68526.33399037305
2014-01-10,74200.20774062345,63534.38370024775,74390.57011633454,80012.32880253666,68526.33399037305
2014-01-13,74383.55621540073,63691.376958111345,74574.38897593021,80012.32880253666,68526.33399037305
2014-01-14,73954.87976907319,63324.32011752352,74144.61275011122,80001.92719979235,68517.42556695432
2014-01-15,73954.87976907319,63324.32011752352,74144.61275011122,80001.92719979235,68517.42556695432
2014-01-16,74288.08619144146,63951.581492245015,74122.40732081284,80647.90554486607,69070.67190395716
2014-01-17,74288.08619144146,63951.581492245015,74122.40732081284,80647.90554486607,69070.67190395716
2014-01-21,74344.6677239746,63346.67906028576,73913.76465036631,80243.83049684884,68190.81100739725
2014-01-22,74591.95157193206,63557.3816033587,74159.6152365526,80351.56470889844,68282.36300893329
2014-01-23,74285.84990078046,63167.812563496875,74322.99751713242,80351.56470889844,67694.22512536078
2014-01-24,74285.84990078046,63167.812563496875,74322.99751713242,80351.56470889844,67694.22512536078
2014-01-27,74280.16318251158,63162.97695140938,74317.30795514527,80351.56470889844,67694.22512536078
2014-01-28,73935.16289815279,63162.97695140938,73972.13514885637,79978.36530429925,67694.22512536078
2014-01-29,74225.17154880546,63410.73199784265,74262.28882214938,80292.07825080694,67959.75386860067
2014-01-30,74135.47596722796,63410.73199784265,73691.50926335996,80592.63047295087,67959.75386860067
2014-01-31,74135.47596722796,63410.73199784265,73691.50926335996,80592.63047295087,67959.75386860067
2014-02-03,73566.70859560737,63410.73199784265,73126.14800429145,80592.63047295087,67959.75386860067
2014-02-04,74230.95165870845,63410.73199784265,72176.84411030238,81828.20603493281,67959.75386860067
2014-02-05,74083.23535427524,63410.73199784265,72280.49846786082,82315.02277384402,67959.75386860067
2014-02-06,74083.23535427524,63410.73199784265,72280.49846786082,82315.02277384402,67959.75386860067
2014-02-07,74083.23535427524,63410.73199784265,72280.49846786082,82315.02277384402,67959.75386860067
2014-02-10,73747.69399240565,63123.529052804486,71953.1221488254,81942.19760345589,67651.94727435107
2014-02-11,73520.76895251352,62929.29505614671,71731.71908887796,81942.19760345589,67651.94727435107
2014-02-12,73468.19982642432,62884.29908978722,71680.42917666533,81621.61295625966,67387.270755007
2014-02-13,73468.19982642432,62884.29908978722,71680.42917666533,81621.61295625966,67387.270755007
2014-02-14,73468.19982642432,62884.29908978722,71680.42917666533,81621.61295625966,67387.270755007
2014-02-18,72640.92844091478,63020.238291728514,70873.28856210015,81134.80248958808,67276.41473851868
2014-02-19,71721.07058607288,62222.20800149335,69975.81447164503,80341.62956522347,66618.72125826692
2014-02-20,71168.04915517372,61742.42968500273,69436.25023018545,80001.72624811238,66336.8757883664
2014-02-21,71168.04915517372,61742.42968500273,69436.25023018545,80001.72624811238,66336.8757883664
2014-02-24,71168.04915517372,61742.42968500273,69436.25023018545,80001.72624811238,66336.8757883664
2014-02-25,70936.87499574905,61541.872630921534,69210.70144851849,79741.85778132886,66121.39466051086
2014-02-26,70534.9759054721,61193.20175099077,68818.58214595188,79290.07328840849,65746.77809665047
2014-02-27,69967.37068629307,60700.77114835348,68264.78899721823,78944.10764637342,65459.905789026176
2014-02-28,69967.37068629307,60700.77114835348,68264.78899721823,78944.10764637342,65459.905789026176
