gate_hi,Sharpe,MaxDD
0.8,-2.233064855276752,-0.9933420650923365
0.85,-2.274084476853943,-0.9947196996894999
0.9,-2.388048849488385,-0.9965870802478244
0.95,-2.4992027290908485,-0.9977986408236809
