,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,TimeInMkt
Buy&Hold (Base),0.13327108602532323,0.16860529023073317,0.8267485341225127,1.0104379450775904,-0.33971831651442574,0.39229879446215854,1.0
Credit,0.08817699479348096,0.0946630179636881,0.9402424876559743,0.9617564832631407,-0.16555981212963555,0.5325990266553164,0.6101694915254238
Curve,0.10215396460803161,0.15631938345208718,0.7007854415397651,0.7609578562642545,-0.33971831651442563,0.300701962897234,0.8404441846873174
VIX-Term,0.10868510600202352,0.13108153228852676,0.852943635138178,1.074432484843755,-0.29796534985405354,0.36475753323417837,0.9281122150789012
NFCI,0.12680207896642415,0.15643153510326366,0.841723366403822,1.0424291403115418,-0.2676170309532885,0.4738191680654172,0.9886031560490941
Composite,0.12210581811725651,0.13478655673990558,0.9224828688904573,1.1641713270034717,-0.3028044712646999,0.40324971955422795,0.9462302746931619
