,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar
VM (nur),0.12089501776442968,0.14579765382654153,0.8578454946279804,1.6650218589279748,-0.23008199685153896,0.5254431872930828
ShortVol (nur),0.10054257646138876,0.07525615766462897,1.3155060034667894,1.7905519517682413,-0.0950933020496616,1.0573045029909818
Static-Blend,0.11463486526871525,0.07769077076558623,1.442074685706077,1.7502712315042497,-0.10548624973089749,1.086728038594191
Regime-Switch,0.04879651595411438,0.10512613565398223,0.5061839486979122,0.7510384923716281,-0.23490839297110344,0.20772572378934515
Online-Weights,0.09379691567100878,0.10484151608781352,0.9102361469283461,1.3940319745416307,-0.20038263211668328,0.4680890488372796
