market,SPX,SPX,SPX
cost_bp,1.0,2.0,5.0
family,,,
ON,0.2474465227745174,-0.3710619395173554,-2.3801973930722036
REV,0.6118933933648548,0.5819458718246913,0.5197753846218681
TOM,0.6254035382104236,0.5985817909022492,0.5391460295041274
TSMOM,0.6891182798101835,0.7209134921350043,0.6804536686616608
VIXTS,0.7792606053837896,0.8690644342445941,0.8086661474113255
VMG,0.9448920076709828,0.9226052164199895,0.8510662936297086
