,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,TimeInMkt
Base (kein Filter),0.1237911612763285,0.14644477112271756,0.8704915392777947,1.1367033083712825,-0.2544348286754966,0.48653386771278234,1.0
Trend(SMA200),0.0768777864691137,0.11151548457651152,0.7202757892870337,0.8333876936083677,-0.20882367228049892,0.3681468946003827,0.8383985973115138
Trend-smooth,0.07233050354568049,0.10395802770473798,0.724085218597671,0.8629671343641961,-0.20815276289234064,0.34748759776535265,0.8383985973115138
VIX-Regime,0.08288032929575762,0.12199989691599879,0.7139485377423007,0.8261422740336278,-0.25986888136042885,0.3189313351482264,0.8123904149620105
Trend+Vol,0.06575191945061953,0.10361953439621262,0.6667040090098654,0.7173113061069284,-0.21007518305350614,0.31299232253374987,0.7425482174167154
Composite,0.03428337508821211,0.07687519520190085,0.47702600920685373,0.5408214266948015,-0.14149064181263282,0.24230136105829128,0.5505552308591467
