,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,ProfitFactor,WinRate_d,N_days,NetProfit_EUR,EndBalance_EUR,WFA_Consistency,WFA_Windows,ParamChanges
ON,0.01580892928685862,0.07472027062082266,0.2474465227745174,0.27687667271988836,-0.20653981118590503,0.07654180177703906,1.0561703836400664,0.5099357101110462,3422.0,23737.970695491706,123737.9706954917,0.5294117647058824,17.0,2.0
REV,0.04347590877376706,0.07406485956577318,0.6118933933648548,0.3341530828569096,-0.1955300800402282,0.2223489540065772,1.2934474027389529,0.09468147282291058,3422.0,78229.51300717183,178229.51300717183,0.6470588235294118,17.0,4.0
TOM,0.05356181962570439,0.08988735982075544,0.6254035382104236,0.5176009454328752,-0.13400566660880864,0.3996981693472923,1.2171446044090077,0.17679719462302748,3422.0,103099.44400395095,203099.44400395095,0.8235294117647058,17.0,7.0
TSMOM,0.08055590223575582,0.12361852368739934,0.6891182798101835,0.7347289179226332,-0.2530103357021104,0.3183897685926982,1.148368467721152,0.4488603156049094,3422.0,186357.2311321082,286357.2311321082,0.8235294117647058,17.0,5.0
VIXTS,0.06878629593169472,0.0906643349756175,0.7792606053837896,0.9472098594483368,-0.1642959372523256,0.41867313995751926,1.153632343785344,0.5388661601402689,3422.0,146785.56931034362,246785.56931034362,0.75,16.0,6.0
VMG,0.14220832196712374,0.1532074582864732,0.9448920076709828,1.208442562667609,-0.25074646689985225,0.5671398832667163,1.1866814856202401,0.5500945179584121,2645.0,303735.2901842489,403735.2901842489,0.9090909090909091,11.0,4.0
