label,Sharpe,Sortino,MaxDD,Calmar,PF,Trades,Win%,Exp_EUR,Net_EUR,Sharpe_13-19,Sharpe_20-26
Baseline,-2.9111724683075444,-3.9551368516130663,-0.9963481933963229,-0.3302708740378997,0.544816739713316,6036,0.35155732273028495,-90.1061717343377,-99618.2478507659,-4.362977722573845,-2.3101550208914268
A: Inverse-Vol-Sizing,-2.951218504108095,-4.010380676258863,-0.9922953080564972,-0.2948474450955904,0.540393299561966,6036,,,-99200.75962052772,-4.507660309979011,-2.1085326858243936
A: Tail-Vol-Sizing,-3.0694440409858776,-4.273869740926182,-0.9794019675675774,-0.24638141454879076,0.5341441935399078,6036,,,-97878.51153937378,-4.579511524451874,-2.1732503991940746
B: Regime-Gate+Richtung,-2.388048849488385,-2.3170896445107974,-0.9965870802478244,-0.33459915331249823,0.5553146344344114,12947,0.3304240364563219,-42.211959788328876,-99651.6772955461,-3.698233033350472,-1.7895529288850456
C: Regime-TP (VWAP/1/2sd),-3.0845122134162306,-4.115121998397937,-0.9973566179195397,-0.3446294915232313,0.5228591234368483,6046,0.384551769765134,-95.05515062486103,-99719.47457881091,-4.536410927265197,-2.476410926229739
B+C kombiniert,-2.7744867379455327,-2.6952422616327785,-0.9974937230743215,-0.3489204275797725,0.5059269174162399,13303,0.36330151093738255,-43.634955172717966,-99744.20929284781,-4.306618287053329,-2.050780238169588
D: skip erste 30min,-2.148110383975408,-2.699302893178256,-0.946894200369282,-0.19914534125919214,0.6044838736401835,3333,0.34233423342334235,-85.54143478490464,-94581.99447860935,-3.164342918969044,-1.6302901280735567
D+B: skip30 + Regime,-1.8024529726363803,-1.5501434722459904,-0.971623028307711,-0.23190414521231736,0.6018572905410535,10051,0.3222564918913541,-34.11912359388507,-97162.30283077109,-3.066138847384642,-1.1187169832849782
