market,model,QLIKE,OOS_R2,CW_p_vs_RW
SPX,RW,0.30847455028519655,0.0,
SPX,log-HAR,0.22539514595447321,0.5312139469889667,0.026505302421170995
SPX,HAR-IV,0.20476560789215767,0.5704866560084475,0.02936656051062414
NDX,RW,0.2755095608932261,0.0,
NDX,log-HAR,0.2016328089496221,0.46521980749592495,0.016920579648799672
NDX,HAR-IV,0.18620010671714424,0.4762521321421286,0.012642864877986937
