date,dir,entry,exit,contracts,reason,pnl_gross,pnl_net,bar,q
2013-01-03,-1,2740.1366962324123,2738.348894877366,4,TP,143.02410840369703,123.02410840369703,20,
2013-01-03,1,2738.01,2740.632998901327,4,TP,209.83991210614477,189.83991210614477,22,
2013-01-07,-1,2711.751313703817,2709.203433433067,4,TP,203.8304216599863,183.8304216599863,21,
2013-01-07,1,2708.65,2712.1491316035854,4,TP,279.93052828682266,259.93052828682266,31,
2013-01-07,-1,2712.92,2715.65,4,SL,-218.40000000000146,-258.40000000000146,40,
2013-01-08,1,2724.889660720921,2720.45,4,SL,-355.17285767367866,-395.17285767367866,23,
2013-01-09,-1,2725.4040766978646,2728.39,4,SL,-238.8738641708187,-278.8738641708187,26,
2013-01-14,1,2736.996289997978,2733.33,4,SL,-293.30319983822847,-333.30319983822847,23,
2013-01-16,-1,2724.949458212307,2728.37,4,SL,-273.6433430154284,-313.6433430154284,23,
2013-01-16,1,2729.914809283748,2734.1791714869414,4,TP,341.1489762554629,321.1489762554629,243,
2013-01-17,-1,2744.7380892263163,2742.3049203398664,4,TP,194.65351091599587,174.65351091599587,30,
2013-01-17,-1,2744.856718402363,2742.2606009665187,4,TP,207.68939486755698,187.68939486755698,34,
2013-01-17,-1,2744.7494045573776,2749.34,4,SL,-367.2476354098035,-407.2476354098035,46,
2013-01-17,1,2742.744125359199,2747.249772138017,4,TP,360.45174230541306,340.45174230541306,118,
2013-01-23,1,2760.4196244038912,2764.1802308337437,4,TP,300.84851438819896,280.84851438819896,106,
2013-01-23,-1,2764.197961624835,2759.5481829437927,4,TP,371.9822944833868,351.9822944833868,119,
2013-01-24,1,2739.432990616075,2734.76,4,SL,-373.839249285993,-413.839249285993,189,
2013-01-28,1,2742.036157326267,2744.5322456113768,4,TP,199.68706280877086,179.68706280877086,31,
2013-01-28,1,2742.2000063517603,2737.92,4,SL,-342.4005081408177,-382.4005081408177,41,
2013-01-28,1,2738.94,2737.36,4,SL,-126.39999999999418,-166.39999999999418,47,
2013-01-28,-1,2745.1307348982514,2746.5,4,BE,-109.54120813988993,-149.54120813988993,77,
2013-01-29,-1,2735.5180609330714,2737.96,4,SL,-195.35512535429007,-235.35512535429007,23,
2013-01-29,-1,2738.12,2733.501112673292,4,TP,369.51098613662907,349.51098613662907,30,
2013-01-29,1,2732.83,2729.11,4,SL,-297.599999999984,-337.599999999984,34,
2013-01-29,-1,2734.957043047695,2737.59,4,BE,-210.63655618439952,-250.63655618439952,111,
2013-01-30,1,2750.165227499994,2745.77,4,SL,-351.6181999995388,-391.6181999995388,53,
2013-02-04,1,2748.385239271611,2750.3472128098083,4,TP,156.9578830557657,136.9578830557657,15,
2013-02-04,1,2748.16,2750.1843109012007,4,TP,161.9448720960645,141.9448720960645,19,
2013-02-04,-1,2751.12,2753.06,4,SL,-155.20000000000437,-195.20000000000437,23,
2013-02-04,1,2749.0044538567636,2752.5839944530926,4,TP,286.363247706322,266.363247706322,39,
2013-02-04,1,2749.0128480240196,2747.28,4,BE,-138.62784192155232,-178.62784192155232,74,
2013-02-06,1,2747.8132792624533,2742.67,4,BE,-411.4623409962587,-451.4623409962587,64,
2013-02-06,-1,2750.3483436222045,2754.99,4,SL,-371.33251022361947,-411.33251022361947,92,
2013-02-07,-1,2746.2266764187534,2743.3015422451235,4,TP,234.01073389039084,214.01073389039084,20,
2013-02-07,1,2741.28,2737.91,4,SL,-269.60000000002765,-309.60000000002765,43,
2013-02-11,-1,2772.1400542850056,2769.725824390452,4,TP,193.13839156428003,173.13839156428003,43,
2013-02-11,1,2769.43,2766.72,4,SL,-216.8000000000029,-256.8000000000029,48,
2013-02-11,-1,2771.8279703806757,2769.212766536307,4,TP,209.21630754950456,189.21630754950456,63,
2013-02-11,1,2769.2017146141307,2771.8419877841625,4,TP,211.22185360254662,191.22185360254662,74,
2013-02-11,-1,2772.22,2774.88,4,SL,-212.80000000002474,-252.80000000002474,94,
2013-02-12,-1,2771.2314624477385,2769.4371828269223,4,TP,143.54236966530152,123.54236966530152,27,
2013-02-12,-1,2771.1482385092604,2769.312298555875,4,TP,146.8751962708484,126.87519627084839,42,
2013-02-12,1,2768.96,2771.3615303781403,4,TP,192.12243025122007,172.12243025122007,47,
2013-02-12,1,2769.3769210882792,2766.46,4,SL,-233.35368706233567,-273.35368706233567,68,
