bucket,count,mean
0-15,437,-125.03891582552353
15-30,1885,-109.28754617620888
30-45,1028,-94.74265663897464
45-60,670,-41.67730419695645
60-90,795,-91.41902491232344
90-120,446,-126.32847959913911
120-180,415,-21.207763498033614
180-240,238,-133.22166496479792
240+,122,95.21334283681038
