,Base-Calmar,Credit-Calmar,Base-Sharpe,Credit-Sharpe
SPX,0.39229879446215854,0.5325990266553164,0.8267485341225127,0.9402424876559743
NDX,0.5496883537714476,0.40117524604151034,0.9560748327282654,0.9038734821505364
DAX,0.24518685772783513,0.2973827213040271,0.5824249701767062,0.6241734191281247
