,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,ProfitFactor,WinRate,Turnover
Buy&Hold,0.13327108602532323,0.16860529023073317,0.8267485341225127,1.0104379450775904,-0.33971831651442574,0.39229879446215854,1.1722015445972787,0.548801870251315,0.0
Inverse-Vol,0.1237911612763285,0.14644477112271756,0.8704915392777947,1.1367033083712825,-0.2544348286754966,0.48653386771278234,1.168001522837662,0.5482174167153712,0.13928513881538396
Inverse-Var,0.11826264606393422,0.1669206338133722,0.7535568216896888,0.926825397898456,-0.2696438092177793,0.4385883970672538,1.1578954507024823,0.5476329631794272,0.2824503373177903
Frac-Kelly(0.5),0.26110399050394184,0.32351292679120414,0.8806424397066501,1.0483701378029806,-0.4402185306513907,0.5931235791405388,1.1773367466608915,0.4859731151373466,0.09930635158996419
VRP-scaled,0.12213478290286472,0.14594040962886262,0.8628839164666329,1.126294583672237,-0.2544348286754965,0.4800238376902171,1.1663504479362268,0.5482174167153712,0.1400760448108387
CVaR-target(2%),0.16248595534554244,0.20393860640659484,0.8409235809667782,1.1364079796532074,-0.3215317359081078,0.5053496659874972,1.1479466051657494,0.5479251899473991,0.22196603619314376
Vol-Regime,0.10841680887533589,0.1407904179139036,0.801800529178742,1.0140380683014554,-0.26291991590254804,0.4123567760287922,1.1586629238480732,0.5336060783167739,0.15536392867582577
