config,bar_exp,bar_win,tick_exp,tick_win,trades
NEAR fade (trend),-58.19989458310556,0.325,-33.89868261103644,0.31666666666666665,60
NEAR fade (both),309.2026541641312,0.6413043478260869,-64.6066288646626,0.2835820895522388,67
NEAR fade (counter),316.0893639756929,0.7588652482269503,-369.68785722853966,0.04806565064478312,853
HIS far-TP (trend),-3.6069601185486784,0.37142857142857144,-128.64881312632602,0.2653061224489796,49
