,Sharpe_13_19,Sharpe_20_26,Calmar_13_19,Calmar_20_26
C5-IV-SPX,0.8232576039376301,1.090596215200815,0.5158176523036407,0.8021543374544648
VMG-SPX,1.2298821439755871,0.8546353542535658,0.9617772779136399,0.5638242781951557
C4-IV-SPX,0.9069310593309641,1.0580374088279871,0.4893853439238173,0.7249328753347659
C5-EW-SPX,0.9893865675586514,0.8868184233046772,0.7321620514084803,0.5650057603277893
C4-EW-SPX,1.0263854299362314,0.8257743911622626,0.6734065549850176,0.45887703799902807
C2-EW-SPX,0.8829354092338473,0.8623674146001391,0.6150771662279385,0.515554495494256
C6-EW-SPX,0.9441655683407589,0.8466624166510458,0.7093185700399868,0.5007776562181947
C3-EW-SPX,0.923116165520913,0.8233037529279187,0.6272681297646585,0.47600623355564914
BH-SPX,0.9791099404742246,0.7606023492717112,0.6279830447184186,0.4213986461070841
