date,close
2020-09-01,177.1200
2020-10-01,176.2000
2020-11-01,166.6700
2020-12-01,178.3600
2021-01-01,172.6100
2021-02-01,161.8100
2021-03-01,159.9600
2021-04-01,165.6600
2021-05-01,178.3800
2021-06-01,165.6300
2021-07-01,169.8200
2021-08-01,169.6900
2021-09-01,164.2200
2021-10-01,166.6500
2021-11-01,165.5000
2021-12-01,170.9600
2022-01-01,168.0900
2022-02-01,178.3800
2022-03-01,180.6500
2022-04-01,176.9100
2022-05-01,171.1400
2022-06-01,168.4600
2022-07-01,164.1000
2022-08-01,159.2700
2022-09-01,154.6700
2022-10-01,151.9100
2022-11-01,164.8100
2022-12-01,169.6400
2023-01-01,179.4100
2023-02-01,169.7800
2023-03-01,183.2200
2023-04-01,184.8000
2023-05-01,182.3200
2023-06-01,178.2700
2023-07-01,182.3500
2023-08-01,180.0200
2023-09-01,171.4500
2023-10-01,184.0900
2023-11-01,188.7500
2023-12-01,191.1700
2024-01-01,188.4500
2024-02-01,189.3100
2024-03-01,205.7200
2024-04-01,211.8700
2024-05-01,215.3000
2024-06-01,215.0100
2024-07-01,226.5500
2024-08-01,231.2900
2024-09-01,243.0600
2024-10-01,253.5100
2024-11-01,245.5900
2024-12-01,242.1300
2025-01-01,258.5600
2025-02-01,263.2700
2025-03-01,288.1400
2025-04-01,303.7700
2025-05-01,303.6000
2025-06-01,304.8300
2025-07-01,302.9600
2025-08-01,318.0700
2025-09-01,355.4700
2025-10-01,368.1200
2025-11-01,387.8800
2025-12-01,396.3100
2026-01-01,444.9500
2026-02-01,483.7500
2026-03-01,430.2900
2026-04-01,423.6600
2026-05-01,417.1200
2026-06-01,368.3800
2026-07-01,371.5400
2026-08-01,408.4200
2026-09-01,398.3600
2026-09-17,398.3600
