date,close
2002-08-01,87.0800
2002-09-01,90.4000
2002-10-01,86.7300
2002-11-01,85.5500
2002-12-01,88.5700
2003-01-01,88.0600
2003-02-01,90.4700
2003-03-01,88.9000
2003-04-01,89.4500
2003-05-01,94.6000
2003-06-01,92.5000
2003-07-01,82.9500
2003-08-01,83.6500
2003-09-01,88.2200
2003-10-01,85.1900
2003-11-01,85.1300
2003-12-01,85.4500
2004-01-01,87.0400
2004-02-01,88.6600
2004-03-01,89.5500
2004-04-01,83.6400
2004-05-01,83.1000
2004-06-01,83.6500
2004-07-01,84.5900
2004-08-01,87.7700
2004-09-01,88.2500
2004-10-01,89.4400
2004-11-01,86.9400
2004-12-01,88.5500
2005-01-01,91.7100
2005-02-01,90.0200
2005-03-01,89.3300
2005-04-01,92.4400
2005-05-01,95.0000
2005-06-01,96.7000
2005-07-01,93.1100
2005-08-01,95.9900
2005-09-01,92.2000
2005-10-01,89.7800
2005-11-01,90.0000
2005-12-01,91.9000
2006-01-01,90.6700
2006-02-01,91.3500
2006-03-01,86.8700
2006-04-01,84.1600
2006-05-01,83.6700
2006-06-01,84.3200
2006-07-01,85.8100
2006-08-01,88.0800
2006-09-01,89.4100
2006-10-01,89.8100
2006-11-01,91.5300
2006-12-01,88.4300
2007-01-01,87.5500
2007-02-01,90.1500
2007-03-01,88.2800
2007-04-01,88.7500
2007-05-01,86.3800
2007-06-01,85.1700
2007-07-01,87.6600
2007-08-01,88.8800
2007-09-01,88.7200
2007-10-01,89.9800
2007-11-01,94.3800
2007-12-01,93.0400
2008-01-01,94.9900
2008-02-01,94.2300
2008-03-01,95.8900
2008-04-01,93.1100
2008-05-01,90.2800
2008-06-01,92.3400
2008-07-01,91.6700
2008-08-01,93.8400
2008-09-01,94.8800
2008-10-01,92.8300
2008-11-01,105.7200
2008-12-01,119.3500
2009-01-01,103.7500
2009-02-01,101.8800
2009-03-01,105.7100
2009-04-01,98.0800
2009-05-01,94.1700
2009-06-01,94.5700
2009-07-01,94.8100
2009-08-01,96.6000
2009-09-01,98.6600
2009-10-01,95.7800
2009-11-01,96.6300
2009-12-01,89.8900
2010-01-01,92.3100
2010-02-01,91.6700
2010-03-01,89.5000
2010-04-01,92.1300
2010-05-01,96.5000
2010-06-01,101.7500
2010-07-01,100.4800
2010-08-01,108.5600
2010-09-01,105.5100
2010-10-01,100.4200
2010-11-01,98.4100
2010-12-01,94.1200
2011-01-01,91.2200
2011-02-01,92.4000
2011-03-01,92.1300
2011-04-01,93.8900
2011-05-01,96.6900
2011-06-01,94.1000
2011-07-01,97.9200
2011-08-01,107.0300
2011-09-01,120.8000
2011-10-01,115.8800
2011-11-01,117.8800
2011-12-01,121.2500
2012-01-01,120.8500
2012-02-01,117.4300
2012-03-01,112.2000
2012-04-01,117.3200
2012-05-01,127.6000
2012-06-01,125.2000
2012-07-01,129.7000
2012-08-01,127.7200
2012-09-01,124.2200
2012-10-01,123.3600
2012-11-01,124.7900
2012-12-01,121.1800
2013-01-01,117.3200
2013-02-01,118.5100
2013-03-01,117.7600
2013-04-01,123.0100
2013-05-01,114.4500
2013-06-01,110.4400
2013-07-01,107.7000
2013-08-01,105.9900
2013-09-01,106.4000
2013-10-01,107.6400
2013-11-01,104.4500
2013-12-01,101.8600
2014-01-01,108.2800
2014-02-01,108.5700
2014-03-01,109.1000
2014-04-01,111.1000
2014-05-01,114.1000
2014-06-01,113.5200
2014-07-01,113.9800
2014-08-01,119.0500
2014-09-01,116.2700
2014-10-01,119.2500
2014-11-01,122.4900
2014-12-01,125.9200
2015-01-01,138.2800
2015-02-01,129.5300
2015-03-01,130.6900
2015-04-01,125.9500
2015-05-01,122.7100
2015-06-01,117.4600
2015-07-01,122.5300
2015-08-01,121.4200
2015-09-01,123.5400
2015-10-01,122.7800
2015-11-01,121.4500
2015-12-01,120.5800
2016-01-01,127.3000
2016-02-01,130.9800
2016-03-01,130.6100
2016-04-01,129.3800
2016-05-01,130.1600
2016-06-01,138.9000
2016-07-01,141.5600
2016-08-01,139.8700
2016-09-01,137.5100
2016-10-01,131.2500
2016-11-01,120.2400
2016-12-01,119.1300
2017-01-01,120.1000
2017-02-01,121.7400
2017-03-01,120.7100
2017-04-01,122.3500
2017-05-01,124.4000
2017-06-01,125.1200
2017-07-01,124.0400
2017-08-01,127.9900
2017-09-01,124.7600
2017-10-01,124.4600
2017-11-01,125.1200
2017-12-01,126.8600
2018-01-01,122.7300
2018-02-01,118.7500
2018-03-01,121.9000
2018-04-01,119.1000
2018-05-01,121.2200
2018-06-01,121.7200
2018-07-01,119.7000
2018-08-01,121.0000
2018-09-01,117.2700
2018-10-01,113.5800
2018-11-01,115.3300
2018-12-01,121.5100
2019-01-01,121.9700
2019-02-01,120.0200
2019-03-01,126.4400
2019-04-01,123.6500
2019-05-01,131.8300
2019-06-01,132.8100
2019-07-01,132.8900
2019-08-01,147.2800
2019-09-01,143.0800
2019-10-01,141.2400
2019-11-01,140.4200
2019-12-01,135.4800
2020-01-01,145.9000
2020-02-01,155.3100
2020-03-01,164.9700
2020-04-01,166.7400
2020-05-01,163.5900
2020-06-01,163.9300
2020-07-01,171.0000
2020-08-01,162.1900
2020-09-01,163.2600
2020-10-01,157.5700
2020-11-01,160.0200
2020-12-01,157.7300
2021-01-01,152.0000
2021-02-01,143.1200
2021-03-01,135.4500
2021-04-01,138.6400
2021-05-01,138.4400
2021-06-01,144.3500
2021-07-01,149.5200
2021-08-01,148.8300
2021-09-01,144.3200
2021-10-01,147.6900
2021-11-01,151.5900
2021-12-01,148.1900
2022-01-01,142.3900
2022-02-01,139.8700
2022-03-01,132.0800
2022-04-01,119.4500
2022-05-01,116.5600
2022-06-01,114.8700
2022-07-01,117.4300
2022-08-01,111.8800
2022-09-01,102.4500
2022-10-01,96.1100
2022-11-01,102.7300
2022-12-01,99.5600
2023-01-01,107.1700
2023-02-01,101.7100
2023-03-01,106.3700
2023-04-01,106.4600
2023-05-01,102.9900
2023-06-01,102.9400
2023-07-01,100.0500
2023-08-01,96.6400
2023-09-01,88.6900
2023-10-01,83.5800
2023-11-01,91.5600
2023-12-01,98.8800
2024-01-01,96.6600
2024-02-01,94.1800
2024-03-01,94.6200
2024-04-01,88.2200
2024-05-01,90.4500
2024-06-01,91.7800
2024-07-01,94.8100
2024-08-01,96.4900
2024-09-01,98.1000
2024-10-01,92.4500
2024-11-01,93.9700
2024-12-01,87.3300
2025-01-01,87.7600
2025-02-01,92.4300
2025-03-01,91.0300
2025-04-01,89.4700
2025-05-01,86.2800
2025-06-01,88.2500
2025-07-01,86.9200
2025-08-01,86.6000
2025-09-01,89.3700
2025-10-01,90.2900
2025-11-01,90.2100
2025-12-01,87.1600
2026-01-01,87.1300
2026-02-01,90.8200
2026-03-01,86.6900
2026-04-01,85.6200
2026-05-01,85.7600
2026-06-01,86.4200
2026-07-01,82.2500
2026-08-01,82.5200
2026-09-01,81.7800
2026-09-17,81.7800
